date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:00	207/207	---M-Z	200	added ('OK')	text/plain	etag:%22192-58a83323e8e87-gzip%22	https://laptopunderbudget.com/robots.txt		(from )
23:00:00	166635/166635	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202020%2005:57:43%20GMT	https://laptopunderbudget.com/	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/index.html	(from )
23:00:01	299/299	---M--	403	error ('Forbidden')	text/html	date:Mon,%2006%20Apr%202020%2005:57:44%20GMT	https://laptopunderbudget.com/xmlrpc.php	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/xmlrpc.php	(from https://laptopunderbudget.com/)
23:00:01	53489/53489	---M-Z	200	added ('OK')	text/css	etag:%22d0f1-5a2347045117b-gzip%22	https://laptopunderbudget.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-includes/css/dist/block-library/style.min91d5.css	(from https://laptopunderbudget.com/)
23:00:02	90113/90113	---M-Z	200	added ('OK')	text/css	etag:%2216001-535f130959f74-gzip%22	https://laptopunderbudget.com/wp-content/plugins/bloom/css/style.css?ver=1.0.6	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/bloom/css/style0ba6.css	(from https://laptopunderbudget.com/)
23:00:02	125531/125531	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202020%2005:57:45%20GMT	https://laptopunderbudget.com/page/2/	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/page/2/index.html	(from https://laptopunderbudget.com/)
23:00:03	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%226cf-5869ebe94eb67-gzip%22	https://laptopunderbudget.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from https://laptopunderbudget.com/)
23:00:03	12808/12808	---MC-	200	added ('OK')	application/rss+xml	etag:%2229a5cb08cd8d8afedad6a3ccadacb1d8%22	https://laptopunderbudget.com/comments/feed/	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/comments/feed/index.html	(from https://laptopunderbudget.com/)
23:00:03	116679/116679	---M-Z	200	added ('OK')	text/css	etag:%221c7c7-535ef4a6af194-gzip%22	https://laptopunderbudget.com/wp-content/plugins/monarch_v129/css/style.css?ver=1.2.9	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/monarch_v129/css/style077c.css	(from https://laptopunderbudget.com/)
23:00:03	85201/85201	---M-Z	200	added ('OK')	text/css	etag:%2214cd1-5a22ad5d2949b-gzip%22	https://laptopunderbudget.com/wp-content/plugins/social-locker/bizpanda/assets/css/lockers.020400.min.css?ver=5.4	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/social-locker/bizpanda/assets/css/lockers.020400.min91d5.css	(from https://laptopunderbudget.com/)
23:00:04	84775/84775	---M-Z	200	added ('OK')	text/css	etag:%2214b27-5a1ed3578da5b-gzip%22	https://laptopunderbudget.com/wp-content/plugins/aawp/public/assets/css/styles.min.css?ver=3.9.5	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/aawp/public/assets/css/styles.minc063.css	(from https://laptopunderbudget.com/)
23:00:04	8851/8851	---M-Z	200	added ('OK')	text/css	etag:%222293-576fc84b4e67a-gzip%22	https://laptopunderbudget.com/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles.css?ver=2.1.2	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles431f.css	(from https://laptopunderbudget.com/)
23:00:04	728036/728036	---M-Z	200	added ('OK')	text/css	etag:%22b1be4-53189f19e9534-gzip%22	https://laptopunderbudget.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/plugins/js_composer/assets/css/js_composer.min8f82.css	(from https://laptopunderbudget.com/)
23:00:05	135769/135769	---M-Z	200	added ('OK')	text/css	etag:%2221259-584bd3f67f601-gzip%22	https://laptopunderbudget.com/wp-content/themes/justwrite/style.css?ver=2.0.3.5	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/themes/justwrite/style5060.css	(from https://laptopunderbudget.com/)
23:00:05	31002/31002	---M-Z	200	added ('OK')	text/css	etag:%22791a-584bd317d9541-gzip%22	https://laptopunderbudget.com/wp-content/themes/justwrite/assets/icons/css/font-awesome.min.css?ver=4.7.0	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/themes/justwrite/assets/icons/css/font-awesome.min1849.css	(from https://laptopunderbudget.com/)
23:00:05	4128/4128	---M-Z	200	added ('OK')	text/css	etag:%221020-584bd317db481-gzip%22	https://laptopunderbudget.com/wp-content/themes/justwrite/assets/css/font-style5.css	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/themes/justwrite/assets/css/font-style5.css	(from https://laptopunderbudget.com/)
23:00:06	96873/96873	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217a69-58972a91c2e27-gzip%22	https://laptopunderbudget.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-includes/js/jquery/jquery4a5f.js	(from https://laptopunderbudget.com/)
23:00:06	10056/10056	---M-Z	200	added ('OK')	application/x-javascript	etag:%222748-535ce49739474-gzip%22	https://laptopunderbudget.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://laptopunderbudget.com/)
23:00:06	2432/2432	---M-Z	200	added ('OK')	application/x-javascript	etag:%22980-584bd317da4e1-gzip%22	https://laptopunderbudget.com/wp-content/themes/justwrite/assets/js/html5.js?ver=3.7.0	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-content/themes/justwrite/assets/js/html53088.js	(from https://laptopunderbudget.com/)
23:00:06	299/299	---M--	403	error ('Forbidden')	text/html	date:Mon,%2006%20Apr%202020%2005:57:50%20GMT	https://laptopunderbudget.com/xmlrpc.php?rsd	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/xmlrpc0db0.php	(from https://laptopunderbudget.com/)
23:00:07	97308/97308	---M-Z	200	added ('OK')	application/json	date:Mon,%2006%20Apr%202020%2005:57:50%20GMT	https://laptopunderbudget.com/wp-json/	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-json/index.html	(from https://laptopunderbudget.com/)
23:00:07	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-4ed4785da9bc0-gzip%22	https://laptopunderbudget.com/wp-includes/wlwmanifest.xml	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/laptopunderbudget.com/wp-includes/wlwmanifest.xml	(from https://laptopunderbudget.com/)
23:00:07	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%220454ed439f9c342aa88819c356b49da1%22	http://connect.facebook.net/en_US/sdk.js?	E:/My%20Web%20Sites/AB%202/Affiliate%20blog%202/connect.facebook.net/en_US/sdkd41d.js	(from https://laptopunderbudget.com/)
